bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
SHB,20,2,,https://cafef.vn/shb-tang-ty-trong-cho-vay-ban-le-qua-thuc-day-tin-dung-tieu-dung-188240328064752132.chn,https://vnexpress.net/shb-day-manh-hoat-dong-ban-le-4727229.html,SHB tăng tỷ trọng cho vay bán lẻ qua thúc đẩy tín dụng tiêu dùng - CafeF,SHB đẩy mạnh hoạt động bán lẻ - VnExpress
SHB,56,7,,https://cafef.vn/diem-danh-nhung-dong-the-quoc-te-co-uu-dai-cuc-dinh-cua-shb-188241009152413552.chn,https://vnexpress.net/ba-dong-the-quoc-te-uu-dai-cua-shb-4802165.html,Điểm danh những dòng thẻ quốc tế có ưu đãi “cực đỉnh” của SHB - CafeF,Ba dòng thẻ quốc tế ưu đãi của SHB - VnExpress
SHB,39,17,,https://cafef.vn/lai-suat-ngan-hang-shb-moi-nhat-thang-3-2024-muc-cao-nhat-ap-dung-cho-ky-han-36-thang-188240307222913205.chn,https://cafef.vn/lai-suat-ngan-hang-shb-moi-nhat-thang-9-2024-muc-cao-nhat-danh-cho-ky-han-36-thang-188240920181319067.chn,Lãi suất ngân hàng SHB mới nhất tháng 3/2024: Mức cao nhất áp dụng cho kỳ hạn 36 tháng - CafeF,Lãi suất ngân hàng SHB mới nhất tháng 9/2024: Mức cao nhất dành cho kỳ hạn 36 tháng - CafeF
SHB,39,21,,https://cafef.vn/lai-suat-ngan-hang-shb-moi-nhat-thang-3-2024-muc-cao-nhat-ap-dung-cho-ky-han-36-thang-188240307222913205.chn,https://cafef.vn/lai-suat-ngan-hang-shb-moi-nhat-thang-7-2024-gui-online-36-thang-co-lai-suat-cao-nhat-188240714215432009.chn,Lãi suất ngân hàng SHB mới nhất tháng 3/2024: Mức cao nhất áp dụng cho kỳ hạn 36 tháng - CafeF,Lãi suất ngân hàng SHB mới nhất tháng 7/2024: Gửi online 36 tháng có lãi suất cao nhất - CafeF
SHB,13,27,,https://baochinhphu.vn/shb-tiep-tuc-tang-truong-ben-vung-chuyen-doi-manh-me-va-toan-dien-102240131144444624.htm,https://cafef.vn/shb-cong-bo-ket-qua-kinh-doanh-nam-2023-voi-nhieu-chi-tieu-tang-truong-tich-cuc-188240130222222308.chn,"SHB tiếp tục tăng trưởng bền vững, chuyển đổi mạnh mẽ và toàn diện - baochinhphu.vn","SHB kiểm soát chi phí tốt nhất hệ thống với CIR năm 2023 chỉ 23%, lợi nhuận hơn 9.200 tỷ đồng - CafeF"
SHB,16,38,,https://cafef.vn/lai-suat-ngan-hang-shb-moi-nhat-thang-2-2024-muc-cao-nhat-la-58-nam-188240219011218699.chn,https://cafef.vn/lai-suat-ngan-hang-shb-moi-nhat-thang-1-2024-gui-online-tu-24-thang-tro-len-co-lai-suat-tot-nhat-188240113235940788.chn,"Lãi suất ngân hàng SHB mới nhất tháng 2/2024: Mức cao nhất là 5,8%/năm - CafeF",Lãi suất ngân hàng SHB mới nhất tháng 1/2024: Gửi online từ 24 tháng trở lên có lãi suất tốt nhất - CafeF
SHB,39,41,,https://cafef.vn/lai-suat-ngan-hang-shb-moi-nhat-thang-3-2024-muc-cao-nhat-ap-dung-cho-ky-han-36-thang-188240307222913205.chn,https://cafef.vn/lai-suat-ngan-hang-shb-moi-nhat-thang-5-2024-gui-online-36-thang-co-lai-suat-tot-nhat-188240514003706642.chn,Lãi suất ngân hàng SHB mới nhất tháng 3/2024: Mức cao nhất áp dụng cho kỳ hạn 36 tháng - CafeF,Lãi suất ngân hàng SHB mới nhất tháng 5/2024: Gửi online 36 tháng có lãi suất tốt nhất - CafeF
