bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
OCB,8,0,,https://baochinhphu.vn/ocb-ky-ket-hop-tac-thanh-toan-bien-mau-10223071708301224.htm,https://vnexpress.net/ocb-ky-ket-hop-tac-thanh-toan-bien-mau-4628689.html,OCB ký kết hợp tác thanh toán biên mậu - baochinhphu.vn,OCB ký kết hợp tác thanh toán biên mậu - VnExpress
OCB,18,3,,https://cafef.vn/ocb-ra-mat-ngan-hang-so-the-he-moi-liobank-20230302141421018.chn,https://vnexpress.net/ocb-ra-mat-ngan-hang-so-liobank-4576731.html,OCB ra mắt Ngân hàng số thế hệ mới Liobank - CafeF,OCB ra mắt ngân hàng số Liobank - VnExpress
OCB,21,9,,https://cafef.vn/dhcd-ocb-du-kien-tang-50-von-dieu-le-len-tren-20500-ty-dong-trong-nam-nay-loi-nhuan-truoc-thue-6000-ty-dong-188230428092304669.chn,https://baochinhphu.vn/ocb-muc-tieu-loi-nhuan-truoc-thue-nam-2023-dat-6000-ty-dong-102230428115826957.htm,"ĐHCĐ OCB: Dự kiến tăng 50% vốn điều lệ lên trên 20.500 tỷ đồng trong năm nay, lợi nhuận trước thuế 6.000 tỷ đồng - CafeF",OCB: Mục tiêu lợi nhuận trước thuế năm 2023 đạt 6.000 tỷ đồng - baochinhphu.vn
