bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
OCB,17,2,,https://baochinhphu.vn/ocb-mo-moi-17-chi-nhanh-phong-giao-dich-trong-nam-2024-102240627095129164.htm,https://vnexpress.net/ocb-se-co-17-chi-nhanh-phong-giao-dich-trong-nam-2024-4735974.html,"OCB mở mới 17 chi nhánh, phòng giao dịch trong năm 2024 - baochinhphu.vn","OCB sẽ có 17 chi nhánh, phòng giao dịch trong năm 2024 - vnexpress.net"
OCB,22,10,,https://cafef.vn/ong-pham-hong-hai-chinh-thuc-lam-tong-giam-doc-ocb-188240715160743579.chn,https://baochinhphu.vn/ngan-hang-tmcp-phuong-dong-co-tan-tong-giam-doc-102240715220413294.htm,Ông Phạm Hồng Hải chính thức làm Tổng giám đốc OCB - CafeF,Ông Phạm Hồng Hải được bổ nhiệm Tổng Giám đốc OCB - baochinhphu.vn
OCB,32,11,,https://cafef.vn/moodys-giu-nguyen-xep-hang-tin-nhiem-cua-ocb-o-muc-ba3-va-nang-trien-vong-len-on-dinh-188240911203549978.chn,https://baochinhphu.vn/moodys-giu-nguyen-xep-hang-tin-nhiem-cua-ocb-o-muc-ba3-va-nang-trien-vong-len-on-dinh-102240911174013238.htm,Moody's giữ nguyên xếp hạng tín nhiệm của OCB ở mức Ba3 và nâng triển vọng lên 'ổn định' - CafeF,Moody's giữ nguyên xếp hạng tín nhiệm của OCB ở mức Ba3 và nâng triển vọng lên 'ổn định' - baochinhphu.vn
OCB,33,13,,https://cafef.vn/ocb-cong-bo-ket-qua-kinh-doanh-9-thang-dau-nam-2024-loi-nhuan-truoc-thue-dat-2553-ty-188241028180715646.chn,https://baochinhphu.vn/ocb-tang-toc-cho-muc-tieu-phat-trien-ben-vung-10224102819460344.htm,OCB công bố kết quả kinh doanh 9 tháng đầu năm 2024: Lợi nhuận trước thuế đạt 2.553 tỷ - CafeF,OCB 'tăng tốc' cho mục tiêu phát triển bền vững - baochinhphu.vn
OCB,45,15,,https://cafef.vn/ong-pham-hong-hai-lam-quyen-tong-giam-doc-ocb-188240503220244319.chn,https://baochinhphu.vn/ocb-bo-nhiem-nhan-su-cap-cao-trong-ban-dieu-hanh-102240504101809875.htm,Ông Phạm Hồng Hải làm Quyền Tổng giám đốc OCB - CafeF,OCB bổ nhiệm nhân sự cấp cao trong Ban Điều hành - baochinhphu.vn
OCB,42,16,,https://cafef.vn/ocb-cong-bo-bao-cao-phat-trien-ben-vung-doc-lap-2023-188240920064002435.chn,https://baochinhphu.vn/ocb-cong-bo-bao-cao-phat-trien-ben-vung-doc-lap-2023-102240922222411495.htm,OCB công bố Báo cáo phát triển bền vững độc lập 2023 - CafeF,OCB công bố báo cáo phát triển bền vững độc lập 2023 - baochinhphu.vn
