bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
VietinBank,18,5,,https://baochinhphu.vn/vietinbank-ipay-mobile-ngan-hang-so-van-nang-102231213222514946.htm,https://vnexpress.net/dau-an-ngan-hang-so-vietinbank-ipay-mobile-4688683.html,VietinBank Ipay mobile - Ngân hàng số vạn năng - baochinhphu.vn,Dấu ấn ngân hàng số VietinBank iPay Mobile - VnExpress
VietinBank,1,6,,https://tapchinganhang.gov.vn/vietinbank-no-luc-khong-ngung-vi-su-hai-long-cua-khach-hang-7715.html,https://vnexpress.net/vietinbank-huong-den-su-hai-long-cua-khach-hang-4555780.html,VietinBank nỗ lực không ngừng vì sự hài lòng của khách hàng - Tạp chí Ngân hàng,VietinBank hướng đến sự hài lòng của khách hàng - VnExpress
VietinBank,34,17,,https://cafef.vn/dau-an-trong-hanh-trinh-chuyen-doi-so-cua-vietinbank-188231221143623569.chn,https://baochinhphu.vn/vietinbank-hien-thuc-hoa-muc-tieu-tro-thanh-ngan-hang-so-hang-dau-102231219091506086.htm,Dấu ấn trong hành trình chuyển đổi số của VietinBank - CafeF,VietinBank: Hiện thực hóa mục tiêu trở thành ngân hàng số hàng đầu - baochinhphu.vn
