bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
SHB,38,6,,https://cafef.vn/shb-nhan-huan-chuong-lao-dong-hang-ba-nhan-ky-niem-30-nam-thanh-lap-188231112212739453.chn,https://vnexpress.net/shb-nhan-huan-chuong-lao-dong-hang-ba-4676091.html,SHB nhận Huân chương Lao động hạng Ba nhân kỷ niệm 30 năm thành lập - CafeF,SHB nhận Huân chương Lao động hạng Ba - VnExpress
SHB,9,10,,https://vnexpress.net/thiet-ke-van-phong-cua-shb-doat-giai-thuong-kien-truc-chau-a-4642144.html,https://baochinhphu.vn/shb-doat-giai-khong-gian-lam-viec-xuat-sac-nhat-chau-a-10223081718280693.htm,Thiết kế văn phòng của SHB đoạt giải thưởng kiến trúc châu Á - VnExpress,SHB đoạt giải không gian làm việc xuất sắc nhất châu Á - baochinhphu.vn
SHB,31,16,,https://cafef.vn/shb-co-2-tan-pho-chu-tich-hoi-dong-quan-tri-188230412210544008.chn,https://baochinhphu.vn/shb-bau-pho-chu-tich-hoi-dong-quan-tri-102230413171058515.htm,SHB có 2 tân Phó Chủ tịch Hội đồng Quản trị - CafeF,SHB bầu Phó Chủ tịch Hội đồng Quản trị - baochinhphu.vn
SHB,38,17,,https://cafef.vn/shb-nhan-huan-chuong-lao-dong-hang-ba-nhan-ky-niem-30-nam-thanh-lap-188231112212739453.chn,https://baochinhphu.vn/shb-don-nhan-huan-chuong-lao-dong-hang-ba-102231112181808127.htm,SHB nhận Huân chương Lao động hạng Ba nhân kỷ niệm 30 năm thành lập - CafeF,"30 năm thành lập, SHB nhận Huân chương Lao động hạng Ba - baochinhphu.vn"
SHB,28,23,,https://cafef.vn/kien-dinh-muc-tieu-phat-trien-ben-vung-shb-tich-cuc-xanh-hoa-hoat-dong-ngan-hang-18823120618072613.chn,https://cafef.vn/shb-se-tap-trung-tai-tro-von-cho-cac-du-an-san-xuat-kinh-doanh-thuoc-11-linh-vuc-xanh-188231124083403936.chn,"Kiên định mục tiêu phát triển bền vững, SHB tích cực ""xanh hóa"" hoạt động ngân hàng - CafeF",SHB sẽ tập trung tài trợ vốn cho các dự án sản xuất kinh doanh thuộc 11 lĩnh vực xanh - CafeF
