bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
LP Bank,40,16,,https://cafef.vn/lai-suat-ngan-hang-buu-dien-lien-viet-lpbank-moi-nhat-thang-4-2024-gui-online-18-thang-co-lai-suat-tot-nhat-lai-suat-cho-vay-ngan-han-binh-quan-749-nam-188240421090620714.chn,https://cafef.vn/lai-suat-ngan-hang-buu-dien-lien-viet-lpbank-moi-nhat-thang-7-2024-tang-o-nhieu-ky-han-muc-lai-suat-tot-nhat-danh-cho-tien-gui-online-18-thang-188240711154540275.chn,"Lãi suất ngân hàng Bưu điện Liên Việt (LPBank) mới nhất tháng 4/2024: Gửi online 18 tháng có lãi suất tốt nhất, lãi suất cho vay ngắn hạn bình quân 7,49%/năm - CafeF","Lãi suất ngân hàng Bưu điện Liên Việt (LPBank) mới nhất tháng 7/2024: Tăng ở nhiều kỳ hạn, mức lãi suất tốt nhất dành cho tiền gửi online 18 tháng - CafeF"
LP Bank,40,35,,https://cafef.vn/lai-suat-ngan-hang-buu-dien-lien-viet-lpbank-moi-nhat-thang-4-2024-gui-online-18-thang-co-lai-suat-tot-nhat-lai-suat-cho-vay-ngan-han-binh-quan-749-nam-188240421090620714.chn,https://cafef.vn/lai-suat-ngan-hang-lpbank-moi-nhat-thang-11-2024-gui-online-18-thang-co-lai-suat-tot-nhat-188241105200428608.chn,"Lãi suất ngân hàng Bưu điện Liên Việt (LPBank) mới nhất tháng 4/2024: Gửi online 18 tháng có lãi suất tốt nhất, lãi suất cho vay ngắn hạn bình quân 7,49%/năm - CafeF",Lãi suất ngân hàng LPBank mới nhất tháng 11/2024: Gửi online 18 tháng có lãi suất tốt nhất - CafeF
LP Bank,40,46,,https://cafef.vn/lai-suat-ngan-hang-buu-dien-lien-viet-lpbank-moi-nhat-thang-4-2024-gui-online-18-thang-co-lai-suat-tot-nhat-lai-suat-cho-vay-ngan-han-binh-quan-749-nam-188240421090620714.chn,https://cafef.vn/lai-suat-ngan-hang-lpbank-moi-nhat-thang-7-2024-muc-lai-suat-tot-nhat-danh-cho-tien-gui-online-18-thang-18824090218433009.chn,"Lãi suất ngân hàng Bưu điện Liên Việt (LPBank) mới nhất tháng 4/2024: Gửi online 18 tháng có lãi suất tốt nhất, lãi suất cho vay ngắn hạn bình quân 7,49%/năm - CafeF",Lãi suất ngân hàng LPBank mới nhất tháng 9/2024: Mức lãi suất tốt nhất dành cho tiền gửi online 18 tháng - CafeF
LP Bank,40,50,,https://cafef.vn/lai-suat-ngan-hang-buu-dien-lien-viet-lpbank-moi-nhat-thang-4-2024-gui-online-18-thang-co-lai-suat-tot-nhat-lai-suat-cho-vay-ngan-han-binh-quan-749-nam-188240421090620714.chn,https://cafef.vn/lai-suat-ngan-hang-loc-phat-lpbank-moi-nhat-thang-8-2024-gui-ky-han-nao-duoc-huong-lai-suat-cao-nhat-188240816183756927.chn,"Lãi suất ngân hàng Bưu điện Liên Việt (LPBank) mới nhất tháng 4/2024: Gửi online 18 tháng có lãi suất tốt nhất, lãi suất cho vay ngắn hạn bình quân 7,49%/năm - CafeF",Lãi suất ngân hàng Lộc Phát (LPBank) mới nhất tháng 8/2024: Gửi kỳ hạn nào được hưởng lãi suất cao nhất? - CafeF
