bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
Techcombank,67,0,,https://cafef.vn/techcombank-keynote-danh-dau-ky-nguyen-ngan-hang-the-he-moi-tren-nen-tang-ai-188240629231236624.chn,https://vnexpress.net/techcombank-keynote-gioi-thieu-loat-giai-phap-cong-nghe-dot-pha-4765079.html,Techcombank Keynote đánh dấu kỷ nguyên ngân hàng thế hệ mới trên nền tảng AI - CafeF,Techcombank Keynote giới thiệu loạt giải pháp công nghệ đột phá - VnExpress
Techcombank,58,10,,https://cafef.vn/chien-luoc-phat-trien-khac-biet-huong-techcombank-tro-thanh-ngan-hang-top-10-dong-nam-a-18824101617213736.chn,https://vnexpress.net/chien-luoc-kho-sao-chep-dan-dat-techcombank-phat-trien-31-nam-4803015.html,Chiến lược phát triển khác biệt hướng Techcombank trở thành ngân hàng top 10 Đông Nam Á - CafeF,'Chiến lược khó sao chép dẫn dắt Techcombank phát triển 31 năm' - VnExpress
Techcombank,109,37,,https://cafef.vn/du-lieu/tcb-1947365/ra-mat-dac-quyen-techcombank-private-bo-doi-the-thanh-toan--the-tin-dung-xung-tam-vi-the.chn,https://vnexpress.net/techcombank-ra-mat-the-thanh-toan-va-the-tin-dung-quoc-te-4706632.html,Ra mắt đặc quyền Techcombank Private: Bộ đôi thẻ thanh toán & thẻ tín dụng xứng tầm vị thế - CafeF,Techcombank ra mắt thẻ thanh toán và thẻ tín dụng quốc tế - VnExpress
Techcombank,60,74,,https://cafef.vn/den-chieu-24-10-da-co-10-ngan-hang-cong-bo-loi-nhuan-quy-3-mot-ong-lon-bao-lai-sut-giam-techcombank-bo-xa-cac-doi-thu-trong-nhom-tu-nhan-188241024171858152.chn,https://cafef.vn/cap-nhat-kqkd-quy-3-2024-cua-7-ngan-hang-techcombank-eximbank-kienlongbank-188241021182147289.chn,"Đến chiều 24/10, đã có 10 ngân hàng công bố lợi nhuận quý 3: Một ông lớn báo lãi sụt giảm, Techcombank bỏ xa các đối thủ trong nhóm tư nhân - CafeF","Cập nhật KQKD quý 3/2024 của 7 ngân hàng: Techcombank, Eximbank, Kienlongbank,... - CafeF"
Techcombank,79,88,,https://cafef.vn/giai-ma-dong-luc-tang-truong-cua-techcombank-trong-nam-2024-188240308085443062.chn,https://cafef.vn/giai-ma-suc-bat-cua-techcombank-nam-2024-18824031614553957.chn,Giải mã động lực tăng trưởng của Techcombank trong năm 2024 - CafeF,Giải mã sức bật của Techcombank năm 2024 - CafeF
Techcombank,60,96,,https://cafef.vn/den-chieu-24-10-da-co-10-ngan-hang-cong-bo-loi-nhuan-quy-3-mot-ong-lon-bao-lai-sut-giam-techcombank-bo-xa-cac-doi-thu-trong-nhom-tu-nhan-188241024171858152.chn,https://cafef.vn/lo-dien-cac-ngan-hang-tu-nhan-lai-lon-nhat-9-thang-dau-nam-2024-techcombank-va-mb-bo-xa-nhom-con-lai-vpbank-va-hdbank-tang-toc-188241029160700521.chn,"Đến chiều 24/10, đã có 10 ngân hàng công bố lợi nhuận quý 3: Một ông lớn báo lãi sụt giảm, Techcombank bỏ xa các đối thủ trong nhóm tư nhân - CafeF","Lộ diện các ngân hàng tư nhân lãi lớn nhất 9 tháng đầu năm 2024: Techcombank và MB bỏ xa nhóm còn lại, VPBank và HDBank tăng tốc - CafeF"
