bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
Vietcombank,57,9,,https://cafef.vn/vcb-digibot-tro-ly-ao-thong-minh-cua-vietcombank-188230329121151087.chn,https://vnexpress.net/vietcombank-toi-uu-hieu-suat-nho-tro-ly-ao-ai-4586781.html,VCB Digibot – Trợ lý ảo thông minh của Vietcombank - CafeF,Vietcombank tối ưu hiệu suất nhờ trợ lý ảo AI - VnExpress
Vietcombank,28,11,,https://baochinhphu.vn/vietcombank-dieu-chinh-phi-dich-vu-thong-bao-bien-dong-so-du-qua-sms-10223121410411893.htm,https://vnexpress.net/vietcombank-dieu-chinh-phi-dich-vu-thong-bao-bien-dong-so-du-qua-sms-4689322.html,Vietcombank điều chỉnh phí dịch vụ thông báo biến động số dư qua SMS - baochinhphu.vn,Vietcombank điều chỉnh phí dịch vụ thông báo biến động số dư qua SMS - VnExpress
Vietcombank,0,13,,https://tapchinganhang.gov.vn/ra-mat-bo-ba-san-pham-the-vietcombank-thuong-hieu-visa-hoan-toan-moi-cong-bat-tan-huong-vo-van-2069.html,https://vnexpress.net/ra-mat-bo-ba-san-pham-the-vietcombank-visa-4628152.html,Ra mắt bộ ba sản phẩm thẻ Vietcombank thương hiệu Visa hoàn toàn mới - “Cộng bất tận - Hưởng vô vàn” - Tạp chí Ngân hàng,Ra mắt bộ ba sản phẩm thẻ Vietcombank Visa - VnExpress
Vietcombank,38,18,,https://baochinhphu.vn/vietcombank-ra-mat-the-ghi-no-quoc-te-vcb-digicard-102230621170053181.htm,https://vnexpress.net/vietcombank-ra-mat-the-ghi-no-quoc-te-vcb-digicard-4620066.html,Vietcombank ra mắt thẻ 'Ghi nợ quốc tế VCB DigiCard' - baochinhphu.vn,Vietcombank ra mắt thẻ ghi nợ quốc tế VCB DigiCard - VnExpress
Vietcombank,36,23,,https://baochinhphu.vn/chia-khoa-de-vietcombank-chinh-phuc-dinh-cao-102230410114838257.htm,https://vnexpress.net/dau-an-cua-vietcombank-tren-hanh-trinh-chuyen-doi-so-4591663.html,'Chìa khóa' để Vietcombank chinh phục đỉnh cao - baochinhphu.vn,Dấu ấn của Vietcombank trên hành trình chuyển đổi số - VnExpress
Vietcombank,0,24,,https://tapchinganhang.gov.vn/ra-mat-bo-ba-san-pham-the-vietcombank-thuong-hieu-visa-hoan-toan-moi-cong-bat-tan-huong-vo-van-2069.html,https://vnexpress.net/vietcombank-ra-mat-bo-ba-the-visa-moi-4628200.html,Ra mắt bộ ba sản phẩm thẻ Vietcombank thương hiệu Visa hoàn toàn mới - “Cộng bất tận - Hưởng vô vàn” - Tạp chí Ngân hàng,Vietcombank ra mắt bộ ba thẻ Visa mới - VnExpress
Vietcombank,0,30,,https://tapchinganhang.gov.vn/ra-mat-bo-ba-san-pham-the-vietcombank-thuong-hieu-visa-hoan-toan-moi-cong-bat-tan-huong-vo-van-2069.html,https://baochinhphu.vn/ra-mat-bo-ba-san-pham-the-vietcombank-thuong-hieu-visa-moi-102230712152126404.htm,Ra mắt bộ ba sản phẩm thẻ Vietcombank thương hiệu Visa hoàn toàn mới - “Cộng bất tận - Hưởng vô vàn” - Tạp chí Ngân hàng,Ra mắt Bộ ba sản phẩm thẻ Vietcombank thương hiệu Visa mới - baochinhphu.vn
Vietcombank,105,31,,https://cafef.vn/vietcombank-ra-mat-website-hoan-toan-moi-hien-dai-thong-minh-va-than-thien-voi-nguoi-dung-188230829210448613.chn,https://baochinhphu.vn/vietcombank-chinh-thuc-ra-mat-website-moi-102230815185444004.htm,"Vietcombank ra mắt website hoàn toàn mới: Hiện đại, thông minh và thân thiện với người dùng - CafeF",Vietcombank chính thức ra mắt website mới - baochinhphu.vn
