bank,keep_i,drop_j,similarity,keep_link,drop_link,keep_title,drop_title
VPBank,37,1,,https://baochinhphu.vn/vpbank-tiep-tuc-thang-hang-ve-gia-tri-thuong-hieu-dat-135-ty-usd-102241011111327228.htm,https://vnexpress.net/vpbank-vao-top-10-thuong-hieu-gia-tri-nhat-viet-nam-2024-4802956.html,"VPBank tiếp tục thăng hạng về giá trị thương hiệu, đạt 1,35 tỷ USD - baochinhphu.vn",VPBank vào top 10 thương hiệu giá trị nhất Việt Nam 2024 - VnExpress
VPBank,48,4,,https://cafef.vn/bom-tan-uu-dai-danh-cho-gioi-dau-tu-tai-chung-khoan-vpbank-188240308121101982.chn,https://vnexpress.net/nhieu-uu-dai-cho-nha-dau-tu-tai-chung-khoan-vpbank-4719928.html,“Bom tấn” ưu đãi dành cho giới đầu tư tại Chứng khoán VPBank - CafeF,Nhiều ưu đãi cho nhà đầu tư tại Chứng khoán VPBank - VnExpress
VPBank,108,25,,https://cafef.vn/tang-truong-vuot-troi-chung-khoan-vpbank-nhan-giai-doanh-nghiep-tang-truong-nhanh-2024-188241007204137025.chn,https://vnexpress.net/vpbanks-gianh-giai-doanh-nghiep-tang-truong-nhanh-4801295.html,"Tăng trưởng vượt trội, Chứng khoán VPBank nhận giải “Doanh nghiệp tăng trưởng nhanh 2024” - CafeF",VPBankS giành giải doanh nghiệp tăng trưởng nhanh - VnExpress
VPBank,80,30,,https://cafef.vn/vpbank-khai-truong-chi-nhanh-flagship-dau-tien-tai-viet-nam-188240812204834049.chn,https://baochinhphu.vn/vpbank-khai-truong-chi-nhanh-flagship-ngan-hang-dau-tien-tai-viet-nam-102240812180843105.htm,VPBank khai trương chi nhánh Flagship đầu tiên tại Việt Nam - CafeF,VPBank khai trương chi nhánh Flagship ngân hàng đầu tiên tại Việt Nam - baochinhphu.vn
VPBank,75,45,,https://m.cafef.vn/du-lieu/ban-lanh-dao-va-so-huu/vpb.chn,https://m.cafef.vn/du-lieu/co-dong-lon/vpb.chn,VPB: Ban lãnh đạo - Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng - CafeF,VPB: Cổ đông lớn - Ngân hàng Thương mại Cổ phần Việt Nam Thịnh Vượng - CafeF
VPBank,58,91,,https://cafef.vn/lai-suat-ngan-hang-vpbank-moi-nhat-thang-9-gui-ky-han-nao-co-lai-suat-tot-nhat-188240924074829194.chn,https://cafef.vn/lai-suat-ngan-hang-vpbank-moi-nhat-thang-8-gui-24-thang-co-lai-suat-tot-nhat-188240825121717245.chn,Lãi suất ngân hàng VPBank mới nhất tháng 9: Gửi kỳ hạn nào có lãi suất tốt nhất? - CafeF,Lãi suất ngân hàng VPBank mới nhất tháng 8: Gửi 24 tháng có lãi suất tốt nhất - CafeF
VPBank,95,106,,https://cafef.vn/cap-nhat-kqkd-quy-3-2024-ngan-hang-ngay-28-10-vpbank-ocb-vietabank-188241028192739232.chn,https://cafef.vn/lo-dien-cac-ngan-hang-tu-nhan-lai-lon-nhat-9-thang-dau-nam-2024-techcombank-va-mb-bo-xa-nhom-con-lai-vpbank-va-hdbank-tang-toc-188241029160700521.chn,"Cập nhật KQKD quý 3/2024 ngân hàng ngày 28/10: VPBank, OCB, VietABank,... - CafeF","Lộ diện các ngân hàng tư nhân lãi lớn nhất 9 tháng đầu năm 2024: Techcombank và MB bỏ xa nhóm còn lại, VPBank và HDBank tăng tốc - CafeF"
